Date,Gas Warm Air Furnaces,Oil Warm Air Furnaces,Residential Gas Automatic Storage Water Heaters,Residential Electric Automatic Storage Water Heaters,Commercial Gas Storage Water Heaters,Commercial Electric Storage Water Heaters,Unitary_Air_Conditioning,Unitary_Heat_Pump,Unitary_AC_HP_sub16.5,Unitary_AC_HP_16.5-21.9,Unitary_AC_HP_22.0-26.9,Unitary_AC_HP_27.0-32.9,Unitary_AC_HP_33.0-38.9,Unitary_AC_HP_39.0-43.9,Unitary_AC_HP_44.0-53.9,Unitary_AC_HP_54.0-64.9,Unitary_AC_HP_65.0-96.9,Unitary_AC_HP_97.0-134.9,Unitary_AC_HP_135.0-184.9,Unitary_AC_HP_185.0-249.9,Unitary_AC_HP_250.0-319.9,Unitary_AC_HP_320.0-379.9,Unitary_AC_HP_380.0-539.9,Unitary_AC_HP_540.0-639.9,Unitary_AC_HP_640.0-799.9,Unitary_AC_HP_800.0-899.9,Unitary_AC_HP_900.0-999.9,Unitary_AC_HP_1000.0-1199.9,Unitary_AC_HP_over1200
8/1/2021,333032,3087,385849,377974,7615,14283,588595,340965,39452,82387,193368,149131,194943,70604,97540,74792,9460,7935,5274,1971,1457,366,327,198,114,50,51,42,98
9/1/2021,353047,4695,425648,380405,7721,14619,578553,320992,31765,69964,178362,142025,208094,67065,96649,81000,8429,6572,4839,1978,1432,403,346,260,127,74,60,32,69
10/1/2021,327329,4335,443832,460953,6657,11850,486751,304570,36888,67766,143399,116979,171849,60541,92414,78258,7887,6975,3804,1857,1559,321,339,189,109,40,52,43,52
11/1/2021,325641,3762,386595,382547,6907,11800,383954,282113,36408,65998,118755,93634,131807,55319,77099,65407,7502,6133,3880,1551,1348,324,365,239,90,40,67,24,77
12/1/2021,323005,4245,449502,420631,7434,14305,352196,277613,31716,65402,115014,85770,127282,52434,72933,56817,8176,5961,3742,1700,1587,329,316,247,118,50,61,49,105
1/1/2022,306853,2791,355010,391003,5273,6591,431835,325443,32351,72615,143764,119364,163628,54964,84846,65001,7555,5666,3817,1651,1110,217,230,195,95,79,42,10,78
2/1/2022,295777,2948,384283,412414,6172,7197,424293,306519,35399,77115,136735,112005,151733,58202,79184,61082,6518,5382,3372,1469,1569,219,270,237,80,22,67,41,111
3/1/2022,361910,2290,459595,486035,9906,11195,583253,362730,42770,89989,189963,147369,200863,71514,101526,78319,7952,6599,4150,1896,1715,307,302,307,128,63,75,55,121
4/1/2022,320976,1612,370568,419312,6911,10780,592889,347573,25951,89384,194523,155932,199660,68798,104815,79732,7940,6022,3683,1600,1287,279,301,212,107,43,76,41,76
5/1/2022,323171,1988,339620,384295,7060,9762,622397,401269,36969,89013,211638,161429,230018,78193,113593,80004,8514,6126,3558,1883,1558,295,286,289,98,49,54,31,68
6/1/2022,396271,1926,323445,357877,8180,12233,683649,460710,55019,107067,224697,175660,241937,87253,126662,100009,9043,7788,4404,2032,1548,319,300,289,100,76,55,25,76
7/1/2022,299823,1754,264609,302781,6865,9601,538146,362063,36412,81451,183179,131322,193918,63135,102020,84551,9009,6877,4141,1737,1257,247,366,264,107,40,69,47,60
8/1/2022,363370,2107,308781,339239,7028,11578,559137,401237,40144,98225,200566,144460,198773,68738,99893,82349,10131,8010,4476,1850,1414,330,348,252,103,77,103,35,97
9/1/2022,352635,3136,305758,350198,7553,10907,504064,407464,40322,111224,174116,141063,187989,64770,93074,72922,8715,7710,4437,2546,1444,303,310,253,97,51,71,35,76
10/1/2022,316814,3116,321275,371842,5965,9490,396208,363830,33825,101047,150062,101545,153163,54904,80689,61399,8175,6071,4322,2042,1557,324,352,270,89,31,62,33,76
11/1/2022,286046,2514,327867,347762,5567,9678,398510,298634,28486,85794,150310,98517,125829,44551,75299,64817,7740,6011,4990,2207,1436,274,369,202,113,33,56,27,83
12/1/2022,248722,3288,370394,404726,7007,11140,319194,297007,23650,84216,121505,90890,117446,41052,62119,51543,8184,6184,4046,2277,1809,301,329,323,135,55,51,37,49
1/1/2023,256356,2588,358918,407313,7247,10696,327455,281701,23148,74407,125612,89091,120239,38237,64369,55922,6881,4641,3472,1200,968,239,275,183,78,40,51,25,78
2/1/2023,231944,1525,371462,411916,7200,13095,342814,307042,24488,82212,121039,105258,131953,42506,66554,58285,6503,4993,3254,1046,844,174,210,228,72,63,54,41,79
3/1/2023,268309,1011,414609,445181,8347,13982,496539,381373,36269,113961,170701,137152,171203,54872,93252,76139,9507,6668,4447,1491,1029,253,314,292,105,49,59,43,106
4/1/2023,249715,842,357328,400122,8324,12382,418975,293074,24325,91211,143911,113636,133134,49506,76984,58426,8911,5535,3182,1432,1015,201,249,159,87,30,44,23,48
5/1/2023,248584,893,376654,419716,7210,11309,527908,380142,30696,116216,184201,135067,187596,59264,94032,73260,10605,8110,4701,1679,1365,308,325,265,113,64,77,28,78
6/1/2023,262890,1048,350349,410429,7420,13599,598766,379895,37357,113267,189687,149577,196203,75971,106873,81749,9996,8356,5078,1842,1479,321,380,220,114,46,43,38,64
7/1/2023,212490,1082,286619,331641,6021,9373,529700,326771,30126,88088,174753,126699,164891,63008,103166,80140,8860,7973,4373,1924,1298,297,309,231,94,50,57,38,96
8/1/2023,281915,2458,360240,410251,7386,14088,541108,336092,34028,97069,163096,127542,173413,61781,104923,85348,10382,9152,4954,2427,1623,422,327,273,142,46,80,46,126
9/1/2023,285774,3093,348773,390894,6235,11876,461330,301971,28540,88925,146606,106932,147577,52438,90096,72766,10849,8193,5092,2270,1651,454,323,261,102,52,69,28,77
10/1/2023,232252,2633,360908,437581,7750,12023,306735,225834,21429,63574,95092,71246,105687,38651,58015,52389,9079,7670,4726,1975,1722,345,334,279,135,40,40,29,112
11/1/2023,226564,2749,342949,416451,6613,12127,250170,205690,17508,53441,88186,68023,87938,31625,44378,38243,9735,7170,4901,1799,1620,339,332,301,90,57,47,39,88
12/1/2023,232723,2697,363253,423576,7448,13109,238542,197047,18870,58814,85176,62027,76745,30515,42768,35308,8289,7540,5140,1949,1254,301,316,230,119,52,56,32,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
